track_id,genre,archive_path
TRAEEVW128F4244269,Blues,lmd_matched/A/E/E/TRAEEVW128F4244269/300ba1a982cfe871ec3772ddd346f9b0.mid
TRALDUE128F9312AF2,Blues,lmd_matched/A/L/D/TRALDUE128F9312AF2/6a93cf9ef29e4613693ca9ca498d90af.mid
TRANJGV128F930818A,Blues,lmd_matched/A/N/J/TRANJGV128F930818A/6245ca6663abfe9f1e15e18054d16024.mid
TRAXCGI128F147C7DC,Blues,lmd_matched/A/X/C/TRAXCGI128F147C7DC/18614fcad13f24f2fec52f7f7b27c9b8.mid
TRAYEGN128F9361233,Blues,lmd_matched/A/Y/E/TRAYEGN128F9361233/7270c9f3d6a001640ebe60fe26142d1e.mid
TRAYWXP128F4244520,Blues,lmd_matched/A/Y/W/TRAYWXP128F4244520/9b717dc252fa7306e557bc6694ca3e45.mid
TRBHHVO128F93090B0,Blues,lmd_matched/B/H/H/TRBHHVO128F93090B0/ff62c94049a9df6a71d214291a156185.mid
TRBIAPG128F9314D7A,Blues,lmd_matched/B/I/A/TRBIAPG128F9314D7A/7790675459e3e1a7e41a4584a07f5675.mid
TRBNRQS128F932E19E,Blues,lmd_matched/B/N/R/TRBNRQS128F932E19E/2750c5b4418abc85120318725d3f729c.mid
TRBQRTN128E078E78E,Blues,lmd_matched/B/Q/R/TRBQRTN128E078E78E/0f8159d8c8e4288515743955bb03e99c.mid
TRBSAAI12903C9EC72,Blues,lmd_matched/B/S/A/TRBSAAI12903C9EC72/d302818a4c319a4711ac705a690e9124.mid
TRBXFBB12903CDF91C,Blues,lmd_matched/B/X/F/TRBXFBB12903CDF91C/82fa3abdb7e5ad7f179e6e7e55be3e14.mid
TRDBTOH128F930DD59,Blues,lmd_matched/D/B/T/TRDBTOH128F930DD59/301fa76fdcbb2d71415c3616e42c65e6.mid
TRDCXST128F931599D,Blues,lmd_matched/D/C/X/TRDCXST128F931599D/b8ffdb97ba2c3e6c28a561f288c9a637.mid
TRDDRFL128F92F45A5,Blues,lmd_matched/D/D/R/TRDDRFL128F92F45A5/5b56d87836e8c45f57bffd811c74de5a.mid
TRDEQJV128EF35A46E,Blues,lmd_matched/D/E/Q/TRDEQJV128EF35A46E/b7c6b9b66274c6babd4a0af718e5b5bc.mid
TRDLAJC12903D081BF,Blues,lmd_matched/D/L/A/TRDLAJC12903D081BF/0e320f1d4fa1383e6673db1554e7b76e.mid
TRDZNOR128F92D667B,Blues,lmd_matched/D/Z/N/TRDZNOR128F92D667B/a609cac94830a1e10c799957cd63a8e6.mid
TREGUNS12903CCCF32,Blues,lmd_matched/E/G/U/TREGUNS12903CCCF32/c23d2a503ae84293abb10ca67b87796f.mid
TREPIMX128F148833C,Blues,lmd_matched/E/P/I/TREPIMX128F148833C/8d26e3ab17158746f7b4873215253389.mid
